item_id,dataset,sample_id,generator,setting,question,n_obs,outfit,infit
arc_challenge::arc_challenge:Mercury_7218365::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:Mercury_7218365,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Students test different model airplane wing designs to determine which design allows for the greatest flight distance. The flight tests take place in a gymnasium. Which of the following is the most appropriate SI unit to use for measuring the flight distance?,5,0.0015740575108339795,0.0026842752498564045
mmlu_pro::mmlu_pro:689::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:689,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Which of the following is typically not a result of recognizing the importance of ethnic groups by marketers?,5,0.001570275418068211,0.0026777548369385077
mmlu_pro::mmlu_pro:2406::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:2406,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Turning up the volume on a music player changes which aspect of sound?,5,0.001570275418068211,0.0026777548369385077
mmlu_pro::mmlu_pro:2168::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:2168,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,What part of Phineas Gage's brain was damaged by his accident while laying the railroad track?,5,0.001570275418068211,0.0026777548369385077
mmlu_pro::mmlu_pro:2195::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:2195,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Any substance that can have a negative impact on fetal development is ___________.,5,0.001570275418068211,0.0026777548369385077
mmlu_pro::mmlu_pro:77::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:77,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,"Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",5,0.001570275418068211,0.0026777548369385077
mmlu_pro::mmlu_pro:631::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:631,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,"In the 'five forces model', what is the type of competitive activity that exists between organisations?",5,0.001570275418068211,0.0026777548369385077
mmlu_pro::mmlu_pro:2353::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:2353,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,A behavior that is elicited automatically by an environmental stimulus is called a(n),5,0.001570275418068211,0.0026777548369385077
mmlu_pro::mmlu_pro:2084::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:2084,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,"According to Bronfenbrenner’s (1979) ecological model, the ______ consists of interactions between elements of the microsystem (e.g., between the family and the school).",5,0.001570275418068211,0.0026777548369385077
mmlu_pro::mmlu_pro:2014::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:2014,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",5,0.001570275418068211,0.0026777548369385077
